學期,學號,取得學分,操行,班排百分比,就學現況,入學身分,入學方式,畢業方式,身心狀況,原住民,新住民,新住民(國籍),入學年,名單中
107-1,10611***,11,85,0.965517241,新生,一般生,甄選入學,一般,正常,無,無,,106,一般生
107-1,10615***,25,95,0.482758621,新生,一般生,聯合分發,一般,正常,無,無,,106,一般生
107-1,10711***,24,85,0.016949153,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,85,0.033898305,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,24,88,0.084745763,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,23,88,0.101694915,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,85,0.118644068,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,84,0.13559322,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,24,84,0.152542373,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,23,84,0.186440678,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,83,0.203389831,新生,一般生,繁星入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,89,0.220338983,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,24,83,0.237288136,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,85,0.271186441,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,86,0.288135593,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,21,85,0.305084746,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,85,0.322033898,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,85,0.338983051,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,21,85,0.355932203,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,84,0.372881356,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,87,0.389830508,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,84,0.406779661,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,85,0.440677966,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,91,0.457627119,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,82,0.474576271,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,21,84,0.491525424,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,21,86,0.508474576,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,24,83,0.525423729,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,19,85,0.559322034,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,87,0.593220339,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,24,85,0.610169492,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,22,85,0.627118644,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,83,0.644067797,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,24,87,0.677966102,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,85,0.694915254,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,22,85,0.711864407,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,22,85,0.728813559,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,20,85,0.745762712,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,83,0.762711864,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,19,86,0.779661017,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,20,85,0.813559322,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,20,87,0.847457627,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,19,83,0.86440678,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,17,85,0.881355932,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,20,85,0.915254237,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,24,82,0.018867925,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,24,82,0.037735849,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,23,94,0.056603774,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,86,0.075471698,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.094339623,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,24,85,0.132075472,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,24,82,0.150943396,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,21,82,0.169811321,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.20754717,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,24,83,0.226415094,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,93,0.245283019,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,88,0.264150943,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.283018868,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.320754717,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,24,82,0.339622642,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,23,85,0.358490566,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.377358491,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.396226415,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.41509434,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,22,82,0.433962264,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.452830189,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,21,82,0.471698113,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.490566038,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.509433962,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.528301887,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,21,82,0.547169811,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.547169811,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.547169811,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,88,0.622641509,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.641509434,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,90,0.660377358,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,23,82,0.679245283,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,21,82,0.716981132,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,85,0.735849057,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,85,0.754716981,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,19,82,0.773584906,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,82,0.79245283,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,21,82,0.811320755,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,19,82,0.830188679,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10715***,21,82,0.849056604,轉系(科生),一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,21,82,0.867924528,新生,一般生,繁星入學,一般,正常,無,無,,107,一般生
107-1,10711***,19,86,0.886792453,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,19,82,0.905660377,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,19,82,0.924528302,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,21,83,0.962264151,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,19,82,1,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,22,87,0.020833333,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,22,88,0.041666667,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,22,86,0.0625,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,22,88,0.104166667,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,22,85,0.125,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,22,88,0.145833333,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,22,85,0.166666667,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,22,85,0.1875,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,22,85,0.208333333,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,22,85,0.229166667,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,22,85,0.25,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,22,86,0.291666667,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,22,85,0.3125,新生,一般生,技優甄審,一般,正常,無,無,,107,一般生
107-1,10716***,22,85,0.333333333,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,22,88,0.354166667,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,22,85,0.375,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,20,85,0.395833333,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,22,85,0.416666667,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,22,92,0.4375,新生,一般生,技優甄審,一般,正常,無,無,,107,一般生
107-1,10716***,19,85,0.458333333,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,20,85,0.479166667,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,20,86,0.5,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,20,85,0.520833333,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,20,85,0.541666667,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,20,85,0.5625,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,22,90,0.583333333,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,20,87,0.604166667,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,20,85,0.625,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,18,93,0.645833333,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,22,85,0.666666667,新生,一般生,技優甄審,一般,正常,無,無,,107,一般生
107-1,10716***,20,85,0.6875,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,17,85,0.708333333,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,15,83,0.729166667,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,20,88,0.75,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,15,88,0.770833333,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,18,85,0.791666667,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,18,85,0.8125,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,20,85,0.833333333,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,20,85,0.854166667,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,12,88,0.895833333,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,17,85,0.916666667,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,17,85,0.9375,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,15,90,0.958333333,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,11,85,1,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,21,87,0.043478261,新生,一般生,技優甄審,一般,正常,無,無,,107,一般生
107-1,10716***,21,87,0.108695652,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,21,86,0.130434783,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,21,87,0.152173913,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,21,84,0.195652174,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,21,93,0.217391304,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,21,84,0.239130435,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,21,87,0.260869565,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,21,84,0.282608696,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,21,84,0.304347826,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,21,84,0.326086957,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,21,86,0.347826087,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,21,84,0.369565217,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,21,88,0.391304348,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,21,87,0.413043478,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,21,87,0.434782609,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,21,87,0.456521739,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,21,87,0.47826087,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,19,84,0.5,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,21,84,0.52173913,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,19,84,0.543478261,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,21,84,0.586956522,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,23,86,0.608695652,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,21,84,0.630434783,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,19,87,0.652173913,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,19,84,0.673913043,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,19,84,0.695652174,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,19,86,0.717391304,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,19,84,0.739130435,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,19,86,0.782608696,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,17,88,0.826086957,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,19,86,0.847826087,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10716***,19,84,0.869565217,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,19,84,0.891304348,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,19,95,0.913043478,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,17,84,0.934782609,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,17,84,0.956521739,新生,一般生,技優甄審,一般,正常,無,無,,107,一般生
107-1,10716***,14,84,0.97826087,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10716***,13,84,1,新生,一般生,聯合分發,肄業,正常,無,無,,107,一般生
107-1,10714***,24,85,0.016949153,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,20,92,0.033898305,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,24,95,0.050847458,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,24,90,0.06779661,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,22,92,0.084745763,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,24,85,0.101694915,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,24,92,0.118644068,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,24,82,0.13559322,18183,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,24,84,0.152542373,18183,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,18,94,0.423728814,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,22,85,0.169491525,18183,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,24,87,0.186440678,18183,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,20,85,0.220338983,18183,一般生,繁星入學,一般,正常,無,無,,107,一般生
107-1,10714***,22,91,0.237288136,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,22,87,0.254237288,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,22,88,0.288135593,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,24,84,0.271186441,18183,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,22,82,0.305084746,18183,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,22,91,0.322033898,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,22,91,0.338983051,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,22,86,0.355932203,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,24,82,0.372881356,18183,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,22,82,0.389830508,18183,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,22,89,0.406779661,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,20,83,0.440677966,18183,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,20,85,0.457627119,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,20,82,0.474576271,18183,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,24,85,0.508474576,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,20,86,0.542372881,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,18,84,0.559322034,18183,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,22,90,0.576271186,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,22,82,0.593220339,18183,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,22,86,0.610169492,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,20,82,0.627118644,18183,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,20,84,0.644067797,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,22,82,0.661016949,18183,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,22,84,0.677966102,18183,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,20,86,0.694915254,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,20,82,0.711864407,18183,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,18,86,0.728813559,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,20,84,0.745762712,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,20,80,0.762711864,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,16,82,0.779661017,18183,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,18,82,0.796610169,18183,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,16,85,0.830508475,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,14,85,0.898305085,18183,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,14,82,0.915254237,18183,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,12,82,0.93220339,18183,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,16,82,0.949152542,18183,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,22,84,0.018181818,18193,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,20,82,0.036363636,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,24,87,0.054545455,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,24,84,0.072727273,18193,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,22,84,0.090909091,18193,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,22,84,0.109090909,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,22,87,0.127272727,18193,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,20,95,0.145454545,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,22,84,0.163636364,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,22,87,0.181818182,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,22,88,0.2,18193,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,20,85,0.218181818,18193,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,22,87,0.254545455,18193,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,20,84,0.272727273,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,20,86,0.327272727,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,20,82,0.345454545,18193,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,22,91,0.363636364,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,20,79,0.381818182,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,22,82,0.4,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,20,84,0.290909091,18193,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,20,82,0.436363636,18193,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,20,77,0.454545455,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,20,82,0.472727273,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,20,87,0.490909091,18193,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,20,85,0.509090909,18193,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,20,82,0.527272727,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,20,82,0.545454545,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,20,87,0.563636364,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,18,81,0.618181818,18193,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,20,86,0.654545455,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,20,82,0.672727273,18193,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,18,88,0.690909091,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,16,78,0.709090909,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,20,82,0.727272727,18193,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,16,81,0.745454545,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,16,80,0.763636364,18193,一般生,甄選入學,肄業,正常,無,無,,107,一般生
107-1,10714***,20,76,0.781818182,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,18,88,0.8,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,14,78,0.818181818,18193,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,20,78,0.836363636,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,20,83,0.854545455,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,18,80,0.890909091,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,16,79,0.909090909,18193,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,16,82,0.927272727,18193,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10714***,14,80,0.963636364,18193,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10714***,12,83,0.981818182,18193,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,21,92,0.017857143,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,23,88,0.035714286,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,91,0.053571429,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,92,0.071428571,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,23,88,0.107142857,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,91,0.125,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,91,0.160714286,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,91,0.178571429,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,21,91,0.196428571,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,91,0.214285714,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,93,0.232142857,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,91,0.25,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,88,0.267857143,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,95,0.285714286,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,88,0.303571429,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,88,0.321428571,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,23,91,0.339285714,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,88,0.357142857,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,91,0.375,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,21,88,0.392857143,新生,一般生,聯合分發,一般,正常,無,無,,107,一般生
107-1,10711***,23,88,0.410714286,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
107-1,10711***,23,95,0.428571429,新生,一般生,甄選入學,一般,正常,無,無,,107,一般生
